id,calle,desde,hasta,estado,puntos,length_meters,lat_inicio,lng_inicio,lat_fin,lng_fin,coords_json
PS-0001,Avenida Doctor Roldán,Purificación,Instrucciones del Año XIII,rojo,2,191,-32.296759887100514,-58.07944973967407,-32.29845123978779,-58.07978763202017,"[[-32.296759887100514,-58.07944973967407],[-32.29845123978779,-58.07978763202017]]"
PS-0002,Doctor Roldán vieja,Yapeyú,República de Chile,rojo,2,452,-32.291649361645526,-58.078511058695035,-32.28763601416053,-58.077760186814785,"[[-32.291649361645526,-58.078511058695035],[-32.28763601416053,-58.077760186814785]]"
PS-0003,Cortada Doctor Roldán vieja,Yapeyú,Cortada,rojo,3,184,-32.29168563968267,-58.078334334567536,-32.29008032264849,-58.07822170378553,"[[-32.29168563968267,-58.078334334567536],[-32.29026171582817,-58.078082256150616],[-32.29008032264849,-58.07822170378553]]"
PS-0004,Avenida Doctor Roldan,Antonio Estefanell,Batalla de las Piedras,verde,2,193,-32.291640292133984,-58.07876299780024,-32.293349879028206,-58.07910089014636,"[[-32.291640292133984,-58.07876299780024],[-32.293349879028206,-58.07910089014636]]"
PS-0005,Doctor Roldán vieja,Yapeyú,Batalla de las piedras,amarillo,2,192,-32.291676570174744,-58.07852695397982,-32.29338615638488,-58.078805849249626,"[[-32.291676570174744,-58.07852695397982],[-32.29338615638488,-58.078805849249626]]"
PS-AUTO-6,Antonio Estefanell,Avenida Doctor Roldán,Treinta y Tres Orientales,verde,2,166,-32.291649361645526,-58.07877403144617,-32.29140901928284,-58.08051712688246,"[[-32.291649361645526,-58.07877403144617],[-32.29140901928284,-58.08051712688246]]"
PS-AUTO-7,Antonio Estefanell,Treinta y Tres Orientales,Setembrino Pereda,verde,2,191,-32.29140901928284,-58.08052817309787,-32.291159606723355,-58.08253943706282,"[[-32.29140901928284,-58.08052817309787],[-32.291159606723355,-58.08253943706282]]"
PS-AUTO-8,Antonio Estefanell,Setembrino Pereda,Luis Batlle Berres,verde,2,187,-32.291155071943194,-58.08252334695109,-32.2908693803359,-58.084486340580874,"[[-32.291155071943194,-58.08252334695109],[-32.2908693803359,-58.084486340580874]]"
PS-AUTO-9,Antonio Estefanell,Luis Batlle Berres,Libertad,verde,2,194,-32.2908693803359,-58.084454721794174,-32.29058368782834,-58.08648743924142,"[[-32.2908693803359,-58.084454721794174],[-32.29058368782834,-58.08648743924142]]"
PS-AUTO-10,Antonio Estefanell,Libertad,Baldomero Vidal,verde,2,171,-32.29057915301937,-58.086471349129695,-32.290347877461386,-58.088274049167126,"[[-32.29057915301937,-58.086471349129695],[-32.290347877461386,-58.088274049167126]]"
PS-AUTO-11,Doctor Roldán vieja,Batalla de las Piedras,Alfredo Vazquez Varela,verde,2,193,-32.29338162171607,-58.07880056758066,-32.295095710356364,-58.07911164307391,"[[-32.29338162171607,-58.07880056758066],[-32.295095710356364,-58.07911164307391]]"
PS-AUTO-12,Doctor Roldán vieja,Alfredo Vazquez Varela,Purificación,verde,2,191,-32.295077572021896,-58.079106380259184,-32.29676895609988,-58.079454999346446,"[[-32.295077572021896,-58.079106380259184],[-32.29676895609988,-58.079454999346446]]"
PS-AUTO-13,Yapeyú,Doctor Roldán vieja,Zorilla de San Martín,verde,2,189,-32.29166840443183,-58.07852548268,-32.29195862826151,-58.07654103556793,"[[-32.29166840443183,-58.07852548268],[-32.29195862826151,-58.07654103556793]]"
PS-AUTO-14,Zorrilla de San Martín,Yapeyú,Batalla de las Piedras,verde,2,194,-32.29194865501779,-58.07655301050063,-32.293667305406835,-58.07690162958789,"[[-32.29194865501779,-58.07655301050063],[-32.293667305406835,-58.07690162958789]]"
PS-AUTO-15,Zorrilla de San Martín,Batalla de las Piedras,Alfredo Vazquez Varela,amarillo,2,190,-32.293667305406835,-58.07690170290986,-32.29535871579819,-58.07720741503251,"[[-32.293667305406835,-58.07690170290986],[-32.29535871579819,-58.07720741503251]]"
PS-AUTO-16,Zorrilla de San Martín,Alfredo Vazquez Varela,Purificación,verde,2,190,-32.29534964665771,-58.07719116780231,-32.29703195668695,-58.07751833340728,"[[-32.29534964665771,-58.07719116780231],[-32.29703195668695,-58.07751833340728]]"
PS-AUTO-17,Purificación,Doctor Roldán vieja,Zorrilla de San Martín,rojo,2,184,-32.29675081810023,-58.079444135388464,-32.29703195668695,-58.077513321982124,"[[-32.29675081810023,-58.079444135388464],[-32.29703195668695,-58.077513321982124]]"
PS-AUTO-18,Zorrilla de San Martín,Purificación,Instrucciones del Año XIII,verde,2,190,-32.297036491173145,-58.077502631901964,-32.29872783869907,-58.077813630930876,"[[-32.297036491173145,-58.077502631901964],[-32.29872783869907,-58.077813630930876]]"
PS-AUTO-19,Alfredo Vazquez Varela,Doctor Roldán vieja,Zorrilla de San Martín,verde,2,180,-32.295082106605854,-58.07908474347198,-32.29535418122807,-58.07719683703022,"[[-32.295082106605854,-58.07908474347198],[-32.29535418122807,-58.07719683703022]]"
PS-AUTO-20,Batalla de las Piedras,Doctor Roldán vieja,Zorrilla de San Martín,verde,2,180,-32.29338162171607,-58.078796075694,-32.29364463213093,-58.07690816925224,"[[-32.29338162171607,-58.078796075694],[-32.29364463213093,-58.07690816925224]]"
